date,CrossFit,HIIT,Yoga,Running,Entrenamiento funcional,year,month
2019-12-08,11,2,57,66,0,2019,12
2019-12-15,10,2,57,70,0,2019,12
2019-12-22,10,2,57,78,0,2019,12
2019-12-29,11,3,70,83,0,2019,12
2020-01-05,12,3,72,74,0,2020,1
2020-01-12,12,3,68,74,0,2020,1
2020-01-19,12,3,65,69,0,2020,1
2020-01-26,11,3,62,69,0,2020,1
2020-02-02,11,3,61,70,0,2020,2
2020-02-09,11,3,58,70,0,2020,2
2020-02-16,12,3,65,69,0,2020,2
2020-02-23,10,3,60,72,0,2020,2
2020-03-01,11,3,60,76,0,2020,3
2020-03-08,10,2,54,70,0,2020,3
2020-03-15,9,3,68,66,0,2020,3
2020-03-22,9,5,73,58,0,2020,3
2020-03-29,9,5,76,59,0,2020,3
2020-04-05,9,6,72,65,0,2020,4
2020-04-12,9,5,73,66,0,2020,4
2020-04-19,9,5,68,69,0,2020,4
2020-04-26,9,5,69,71,0,2020,4
2020-05-03,7,5,61,79,0,2020,5
2020-05-10,8,5,59,70,0,2020,5
2020-05-17,8,4,62,71,0,2020,5
2020-05-24,8,4,57,69,0,2020,5
2020-05-31,8,4,56,72,0,2020,5
2020-06-07,21,4,59,69,0,2020,6
2020-06-14,9,4,63,68,0,2020,6
2020-06-21,9,3,71,65,0,2020,6
2020-06-28,9,4,57,66,0,2020,6
2020-07-05,8,3,56,73,0,2020,7
2020-07-12,8,3,54,64,0,2020,7
2020-07-19,9,3,56,67,0,2020,7
2020-07-26,9,3,53,64,0,2020,7
2020-08-02,8,3,52,63,0,2020,8
2020-08-09,8,3,55,70,0,2020,8
2020-08-16,9,3,55,63,0,2020,8
2020-08-23,8,3,57,60,0,2020,8
2020-08-30,9,3,54,63,0,2020,8
2020-09-06,9,3,55,64,0,2020,9
2020-09-13,11,3,53,64,0,2020,9
2020-09-20,11,3,54,62,0,2020,9
2020-09-27,9,3,51,61,0,2020,9
2020-10-04,8,3,52,61,0,2020,10
2020-10-11,8,2,49,62,0,2020,10
2020-10-18,12,3,49,63,0,2020,10
2020-10-25,12,2,48,63,0,2020,10
2020-11-01,7,2,44,67,0,2020,11
2020-11-08,8,3,49,67,0,2020,11
2020-11-15,8,2,44,61,0,2020,11
2020-11-22,7,2,49,64,0,2020,11
2020-11-29,7,2,47,63,0,2020,11
2020-12-06,7,2,47,66,0,2020,12
2020-12-13,7,2,46,60,0,2020,12
2020-12-20,6,2,41,61,0,2020,12
2020-12-27,7,3,49,71,0,2020,12
2021-01-03,8,3,51,64,0,2021,1
2021-01-10,7,3,49,63,0,2021,1
2021-01-17,8,3,51,67,0,2021,1
2021-01-24,7,3,52,63,0,2021,1
2021-01-31,8,3,48,63,0,2021,1
2021-02-07,7,3,48,61,0,2021,2
2021-02-14,7,3,47,65,0,2021,2
2021-02-21,7,3,48,64,0,2021,2
2021-02-28,8,3,46,62,0,2021,2
